PLAYER,Value
Kevin Garnett,29.74
LeBron James,27.9
Chris Paul,26.57
Shaquille O'Neal,26.55
Dwyane Wade,26.12
Dirk Nowitzki,26.09
Tim Duncan,26.09
Kobe Bryant,25.3
Chris Webber,24.93
Tracy McGrady,23.81
Dwight Howard,23.68
Amar'e Stoudemire,23.52
Karl Malone,23.5
Elton Brand,23.25
Shawn Marion,23.25
Allen Iverson,22.94
Chris Bosh,22.81
Carlos Boozer,22.62
David Lee,22.3
Kevin Durant,22.1
Gilbert Arenas,22.08
Pau Gasol,22.06
Paul Pierce,21.38
Jason Kidd,21.31
Marcus Camby,21.18
Steve Nash,20.97
Yao Ming,20.72
Carmelo Anthony,20.66
Brandon Roy,20.6
Vince Carter,20.39
Jermaine O'Neal,20.16
Jamal Mashburn,19.8
Lamar Odom,19.8
Antawn Jamison,19.71
Sam Cassell,19.62
Tyreke Evans,19.6
Brook Lopez,19.5
Terrell Brandon,19.5
Stephon Marbury,19.38
Baron Davis,19.34
Steve Francis,19.26
Ray Allen,19.14
LaMarcus Aldridge,19.1
Gerald Wallace,19.05
Glenn Robinson,19.0
Stephen Curry,19.0
Al Horford,18.85
Michael Jordan,18.7
Deron Williams,18.65
Ben Wallace,18.64
Corey Maggette,18.6
Anthony Mason,18.55
Zach Randolph,18.54
David Robinson,18.5
Monta Ellis,18.47
Peja Stojakovic,18.47
Andre Iguodala,18.33
Jerry Stackhouse,18.23
Shareef Abdur-Rahim,18.17
Josh Smith,18.16
Brad Miller,18.14
Michael Redd,18.12
Gary Payton,18.07
David West,18.0
Luol Deng,17.93
Andre Miller,17.91
Emeka Okafor,17.9
Derrick Rose,17.85
Andris Biedrins,17.8
John Stockton,17.77
Zydrunas Ilgauskas,17.75
Al Jefferson,17.43
Josh Howard,17.33
Manu Ginobili,17.28
Rashard Lewis,17.24
Rasheed Wallace,17.19
Danny Granger,17.1
Chauncey Billups,17.02
Danny Fortson,17.0
Troy Murphy,16.93
Carl Landry,16.9
Andrew Bogut,16.85
Nene,16.75
Jason Richardson,16.48
Antoine Walker,16.47
Joe Johnson,16.41
Kenyon Martin,16.4
Russell Westbrook,16.35
Kevin Martin,16.33
Keith Van Horn,16.17
Richard Jefferson,16.17
Vlade Divac,16.15
Luis Scola,16.13
Jason Terry,16.11
Elden Campbell,16.05
Mike Bibby,16.04
Andrei Kirilenko,16.0
Tony Parker,15.93
Marc Gasol,15.9
Jalen Rose,15.88
Charles Oakley,15.8
Mehmet Okur,15.8
Rajon Rondo,15.8
Caron Butler,15.75
Richard Hamilton,15.66
Nick Van Exel,15.53
Rudy Gay,15.52
Clar. Weatherspoon,15.3
Delonte West,15.3
Kevin Love,15.3
Mike Miller,15.25
T.J. Ford,15.23
Wesley Person,15.2
Raef LaFrentz,15.18
Allan Houston,15.13
Kirk Hinrich,15.1
Metta World Peace,15.1
Brian Grant,15.02
O.J. Mayo,15.0
Damon Stoudamire,14.98
Doug Christie,14.98
Samuel Dalembert,14.95
Tyson Chandler,14.93
Eddie Jones,14.92
P.J. Brown,14.9
Grant Hill,14.83
Antonio Davis,14.8
Ricky Davis,14.67
Danilo Gallinari,14.6
Donyell Marshall,14.6
Jason Thompson,14.6
Jose Calderon,14.6
Drew Gooden,14.58
Chris Kaman,14.55
Cuttino Mobley,14.54
Tayshaun Prince,14.52
Theo Ratliff,14.5
Raymond Felton,14.48
Mo Williams,14.45
Dikembe Mutombo,14.42
Alonzo Mourning,14.25
Juwan Howard,14.21
Jim Jackson,14.2
Kenny Thomas,14.18
Rodney Stuckey,14.1
Wilson Chandler,14.1
Ben Gordon,14.06
Al Harrington,14.05
Primoz Brezec,14.0
Udonis Haslem,14.0
Boris Diaw,13.95
Wally Szczerbiak,13.93
Jamal Crawford,13.92
Tim Hardaway,13.9
Paul Millsap,13.88
Reggie Miller,13.85
Antonio McDyess,13.83
Josh Childress,13.83
Brandon Jennings,13.8
Eric Gordon,13.8
Kurt Thomas,13.8
Michael Beasley,13.75
Jeff Green,13.73
Ronnie Brewer,13.7
Joe Smith,13.68
Derek Anderson,13.67
Chris Wilcox,13.5
Latrell Sprewell,13.5
Jamaal Tinsley,13.47
Stephen Jackson,13.47
Kerry Kittles,13.45
Alvin Williams,13.4
Charlie Villanueva,13.3
Kenny Anderson,13.3
Taj Gibson,13.3
Mike Dunleavy,13.22
Andrea Bargnani,13.2
Rafer Alston,13.16
Horace Grant,13.15
Anderson Varejao,13.13
Christian Laettner,13.1
Darren Collison,13.1
Tyrone Hill,13.1
Hedo Turkoglu,13.09
Erick Dampier,13.04
Matt Harpring,13.0
Lamond Murray,12.9
Michael Finley,12.9
Shane Battier,12.86
Dale Davis,12.85
Bonzi Wells,12.82
Darrell Armstrong,12.8
Devin Harris,12.8
Rod Strickland,12.8
Leandro Barbosa,12.78
Mike Conley,12.75
Aaron Brooks,12.6
Jason Hart,12.5
Luke Ridnour,12.46
Ryan Gomes,12.45
Dan Dickau,12.4
Michael Dickerson,12.4
Andray Blatche,12.37
Kendrick Perkins,12.32
Jamario Moon,12.3
Nick Collison,12.28
Aaron McKie,12.23
David Wesley,12.2
Ersan Ilyasova,12.2
Keon Clark,12.2
LaPhonso Ellis,12.2
Larry Hughes,12.2
Patrick Ewing,12.2
Thaddeus Young,12.2
Joakim Noah,12.15
Lorenzen Wright,12.15
Josh Boone,12.1
Speedy Claxton,12.1
Jamaal Magloire,12.07
Marvin Williams,12.03
Marcus Thornton,12.0
Rodney Rogers,12.0
Eddy Curry,11.94
Anthony Parker,11.9
Jonas Jerebko,11.9
Brendan Haywood,11.87
Mark Jackson,11.87
Nenad Krstic,11.87
Brent Barry,11.86
Kelenna Azubuike,11.85
Darius Miles,11.83
Andrew Bynum,11.8
Bobby Simmons,11.8
Michael Olowokandi,11.8
Jeff McInnis,11.76
Popeye Jones,11.7
Scot Pollard,11.7
Nate Robinson,11.67
Mike James,11.66
Travis Outlaw,11.65
Al Thornton,11.6
Brian Cardinal,11.6
Jarrett Jack,11.56
Jason Williams,11.56
John Salmons,11.55
Ramon Sessions,11.5
Ruben Patterson,11.46
Smush Parker,11.35
Joel Przybilla,11.3
Maurice Taylor,11.3
Rick Fox,11.3
Tim Thomas,11.3
James Posey,11.28
Mark Blount,11.28
Anfernee Hardaway,11.25
Bryant Reeves,11.2
DeJuan Blair,11.2
Desmond Mason,11.2
Kwame Brown,11.2
Vin Baker,11.2
Nazr Mohammed,11.18
Matt Barnes,11.12
Hakim Warrick,11.08
Trevor Ariza,11.03
Jonny Flynn,11.0
Quentin Richardson,11.0
Roy Hibbert,10.95
Randy Foye,10.93
Clifford Robinson,10.92
Chris Whitney,10.9
Chris Duhon,10.88
Chucky Atkins,10.8
Glen Rice,10.8
Jerome Williams,10.8
Spencer Hawes,10.77
Channing Frye,10.73
Zaza Pachulia,10.7
Jumaine Jones,10.68
Earl Boykins,10.65
Kelvin Cato,10.65
Chris Andersen,10.63
JR Smith,10.58
Rasho Nesterovic,10.57
Shawn Bradley,10.53
Morris Peterson,10.51
Bo Outlaw,10.5
Bryant Stith,10.5
C.J. Watson,10.5
Eric Snow,10.5
Andres Nocioni,10.46
Chris Gatling,10.4
JJ Hickson,10.4
Jameer Nelson,10.4
Bob Sura,10.3
Luc Mbah a Moute,10.3
Michael Smith,10.3
Michael Sweetney,10.3
Jeff Foster,10.29
Eddie Griffin,10.28
Darko Milicic,10.25
Dominic McGuire,10.2
Kyle Lowry,10.2
Mario Chalmers,10.2
Tony Delk,10.2
Derek Fisher,10.19
Corliss Williamson,10.18
Tyrus Thomas,10.13
George McCloud,10.1
Jon Barry,10.1
Omri Casspi,10.1
Rudy Fernandez,10.1
Vladimir Radmanovic,10.05
Courtney Lee,10.0
Lou Williams,10.0
DeShawn Stevenson,9.98
Chris Mihm,9.97
Voshon Lenard,9.97
Earl Watson,9.93
Travis Best,9.92
Aaron Williams,9.9
Amir Johnson,9.9
Lee Nailon,9.9
Arvydas Sabonis,9.8
Brandon Bass,9.8
James Harden,9.8
Tyronn Lue,9.8
Carlos Delfino,9.77
Kyle Korver,9.77
Antonio Daniels,9.75
Craig Smith,9.75
Etan Thomas,9.75
Marcus Fizer,9.75
Ronny Turiaf,9.73
Dion Glover,9.7
Serge Ibaka,9.7
Toni Kukoc,9.7
Jahidi White,9.6
Jay Williams,9.6
Leon Powe,9.6
Robert Horry,9.58
Anthony Carter,9.57
Dan Gadzuric,9.57
Mickael Pietrus,9.55
Matt Bonner,9.53
Eduardo Najera,9.5
Greg Ostertag,9.48
Francisco Garcia,9.45
Eric Piatkowski,9.4
Jrue Holiday,9.4
Terrence Williams,9.4
Jason Maxiell,9.33
Linas Kleiza,9.33
Ervin Johnson,9.3
Fred Hoiberg,9.25
Malik Rose,9.25
Raja Bell,9.25
Marko Jaric,9.23
Steven Smith,9.2
Vladimir Stepania,9.2
George Hill,9.15
Tony Battie,9.14
George Lynch,9.13
Damon Jones,9.12
Donnell Harvey,9.1
Jason Caffey,9.1
Wesley Matthews,9.1
Gordan Giricek,9.07
Howard Eisley,9.03
Luther Head,9.03
Beno Udrih,9.02
Stromile Swift,9.0
Mikki Moore,8.92
Corey Brewer,8.9
Jared Dudley,8.9
Rick Brunson,8.9
Calbert Cheaney,8.85
Fabricio Oberto,8.85
Brian Skinner,8.8
Dorell Wright,8.8
JJ Redick,8.8
Juan Carlos Navarro,8.8
Tyrone Nesby,8.8
Bobby Jackson,8.78
Flip Murray,8.75
Rashad McCants,8.75
Brandon Rush,8.7
Marc Jackson,8.7
Marreese Speights,8.7
Steve Blake,8.7
Anthony Peeler,8.62
Othella Harrington,8.62
Troy Hudson,8.62
Adonal Foyle,8.6
Chase Budinger,8.6
Francisco Elson,8.6
Sean Williams,8.6
Chuck Hayes,8.55
Charlie Bell,8.53
CJ Miles,8.5
D.J. Augustin,8.5
Felipe Lopez,8.5
Johnny Newman,8.5
Zeljko Rebraca,8.5
Austin Croshere,8.4
Goran Dragic,8.4
Kevin Willis,8.4
Shammond Williams,8.4
Shelden Williams,8.4
Vitaly Potapenko,8.4
Matt Carroll,8.37
Devean George,8.35
Ime Udoka,8.35
Martell Webster,8.33
Carlos Arroyo,8.3
DeMar DeRozan,8.3
Fred Jones,8.3
Eric Williams,8.27
Rasual Butler,8.26
J.J. Barea,8.25
Reggie Evans,8.22
Chris Childs,8.2
Ira Newble,8.2
Kendall Gill,8.2
Lucious Harris,8.2
Predrag Drobnjak,8.2
Ryan Bowen,8.2
Bostjan Nachbar,8.17
Pat Garrity,8.15
Terry Porter,8.15
Darius Songaila,8.14
Roger Mason Jr.,8.13
Glen Davis,8.1
Jiri Welsch,8.1
Juan Dixon,8.1
Alan Henderson,8.07
Moochie Norris,8.07
Trenton Hassell,8.03
Damien Wilkins,8.0
Darrell Arthur,8.0
Jared Jeffries,8.0
Shawn Kemp,8.0
Walt Williams,8.0
Anthony Johnson,7.97
Johan Petro,7.95
Marquis Daniels,7.9
Sarunas Jasikevicius,7.9
Willie Green,7.9
Brian Cook,7.8
Calvin Booth,7.8
Donte Greene,7.8
Gary Trent,7.8
JaVale McGee,7.8
John Starks,7.8
Shandon Anderson,7.8
DeAndre Jordan,7.7
Erick Strickland,7.7
Steven Hunter,7.65
Corie Blount,7.6
Keith Bogans,7.6
Malik Allen,7.6
Shannon Brown,7.6
Greg Buckner,7.58
Adam Morrison,7.5
Charlie Ward,7.5
Evan Eschmeyer,7.5
Gerald Green,7.5
Raul Lopez,7.5
Robert Pack,7.5
Sebastian Telfair,7.5
Eddie House,7.47
Jarvis Hayes,7.45
Joey Graham,7.43
Olden Polynice,7.4
Robert Traylor,7.4
Scott Padgett,7.4
Bruce Bowen,7.39
Adrian Griffin,7.3
Danny Manning,7.3
Tony Massenburg,7.3
Andrew DeClercq,7.25
Devin Brown,7.25
Daequan Cook,7.2
Daniel Gibson,7.2
Jannero Pargo,7.2
Jerryd Bayless,7.2
Melvin Ely,7.2
Bryon Russell,7.18
Jason Collins,7.17
Maurice Evans,7.1
James Jones,7.03
Jonathan Bender,7.0
Lou Amundson,7.0
Thabo Sefolosha,6.95
Milt Palacio,6.93
Marcin Gortat,6.9
Tony Allen,6.9
Keyon Dooling,6.85
Luke Walton,6.85
Jordan Farmar,6.83
Danny Ferry,6.8
DerMarr Johnson,6.8
Nicolas Batum,6.8
Junior Harrington,6.7
Kris Humphries,6.7
Rodney White,6.65
Ryan Hollins,6.6
Sean Rooks,6.6
Walter McCarty,6.6
Marcus Williams,6.5
Mike Batiste,6.5
Brian Shaw,6.45
Brevin Knight,6.4
Jerome James,6.4
Ron Mercer,6.4
DeSagana Diop,6.36
Eric Maynor,6.3
Jake Voskuhl,6.3
Jelani McCoy,6.3
Kevin Ollie,6.3
Lindsey Hunter,6.3
Sam Young,6.3
Steve Novak,6.3
Jason Kapono,6.27
Nick Young,6.23
A.C. Green,6.2
Dahntay Jones,6.15
Arron Afflalo,6.13
Quinton Ross,6.07
Jacque Vaughn,6.04
Jarron Collins,6.02
Sasha Vujacic,5.98
Hilton Armstrong,5.9
Michael Doleac,5.85
Joel Anthony,5.7
Marcus Banks,5.7
Jason Smith,5.6
John Amaechi,5.6
Wayne Ellington,5.6
Casey Jacobsen,5.53
Monty Williams,5.5
Dean Garrett,5.3
Mickael Gelabale,5.3
Dell Curry,5.1
Michael Ruffin,5.1
Rodney Carney,5.1
Stacey Augmon,5.05
Mateen Cleaves,5.0
Jason Collier,4.9
Slava Medvedenko,4.9
Kareem Rush,4.83
Hanno Mottola,4.8
Mark Madsen,4.55
Sergio Rodriguez,4.45
Stephen Graham,4.3
Darvin Ham,4.25
Orien Greene,4.2
Michael Curry,4.17
Eddie Gill,4.1
Jeryl Sasser,4.1
Royal Ivey,4.1
Roko Ukic,4.0
Jeff Teague,3.9
Tierre Brown,3.8
Justin Reed,3.7
Sasha Pavlovic,3.65
DeMarre Carroll,3.6
Quincy Douby,3.6
Steve Kerr,3.6
Brian Scalabrine,3.3
Nikoloz Tskitishvili,3.3
Sam Mitchell,3.15
